Nutrient,Food class level 1,Avg (Concentration levels)
vitamin B-12,Human milk,0.04
vitamin B-12,"Legumes, nuts, oilseeds and spices",0
vitamin B-12,Meat and meat products,7.12
vitamin B-12,Milk and dairy products,0.88
vitamin B-12,"Products for non-standard diets, food imitates and food supplements or fortifying agents",0.27
vitamin B-12,"Seasoning, sauces and condiments",0.16
vitamin B-12,"Starchy roots or tubers and products thereof, sugar plants",0
vitamin B-12,"Sugar, confectionery and water-based sweet desserts",0.12
vitamin B-12,Vegetables and vegetable products,0
vitamin B-12,Water and water-based beverages,0.03
vitamin B-6,"Additives,flavours, baking and processing aids",0.14
vitamin B-6,Alcoholic beverages,0.02
vitamin B-6,Animal and vegetable fats and oils,0.09
vitamin B-6,"Coffee, cocoa, tea and infusions",0.12
vitamin B-6,Composite dishes,0.13
vitamin B-6,Eggs and egg products,0.18
vitamin B-6,"Fish, seafood, amphibians, reptiles and invertebrates",0.33
vitamin B-6,Food products for young population,0.14
vitamin B-6,Fruit and fruit products,0.07
vitamin B-6,Fruit and vegetable juices and nectars,0.23
vitamin B-6,Grains and grain-based products,0.21
vitamin B-6,Human milk,0.01
vitamin B-6,"Legumes, nuts, oilseeds and spices",0.24
vitamin B-6,Meat and meat products,0.34
vitamin B-6,Milk and dairy products,0.08
vitamin B-6,"Products for non-standard diets, food imitates and food supplements or fortifying agents",0.17
vitamin B-6,"Seasoning, sauces and condiments",0.11
vitamin B-6,"Starchy roots or tubers and products thereof, sugar plants",0.2
vitamin B-6,"Sugar, confectionery and water-based sweet desserts",0.05
vitamin B-6,Vegetables and vegetable products,0.14
vitamin B-6,Water and water-based beverages,0.02
vitamin E; alpha-tocopherol equiv from E vitamer activities,"Additives,flavours, baking and processing aids",0
vitamin E; alpha-tocopherol equiv from E vitamer activities,Alcoholic beverages,0.04
vitamin E; alpha-tocopherol equiv from E vitamer activities,Animal and vegetable fats and oils,15.49
vitamin E; alpha-tocopherol equiv from E vitamer activities,"Coffee, cocoa, tea and infusions",0.75
vitamin E; alpha-tocopherol equiv from E vitamer activities,Composite dishes,1.17
vitamin E; alpha-tocopherol equiv from E vitamer activities,Eggs and egg products,1.52
vitamin E; alpha-tocopherol equiv from E vitamer activities,"Fish, seafood, amphibians, reptiles and invertebrates",1.94
vitamin E; alpha-tocopherol equiv from E vitamer activities,Food products for young population,1.72
vitamin E; alpha-tocopherol equiv from E vitamer activities,Fruit and fruit products,0.6
vitamin E; alpha-tocopherol equiv from E vitamer activities,Fruit and vegetable juices and nectars,1.04
